H1N1 Vaccine Trial #8

Time evolution of the rate of bacteria formation (dN/dt)
Experiment 1: 2009-09-16

time (days)	dN/dt				
0	0.00				
1	0.10				
2	0.20				
3	0.27				
4	0.36				
5	0.50				
6	0.57				
7	0.70				
8	0.80				
9	0.84				
10	0.98				
11	1.10				
12	1.15				
13	1.30				
14	1.40				
15	1.34				
16	1.58				
17	1.70				
18	1.49				
19	1.90				
20	2.00				
21	1.92				
22	2.02				
23	2.30				
24	2.14				
25	2.50				
26	2.60				
27	2.22				
28	2.32				
29	2.90				
30	2.55				
31	3.10				
32	3.20				
33	3.17				
34	2.79				
35	3.50				
36	3.54				
37	3.70				
38	3.80				
39	3.90				
40	3.42				
41	4.10				
42	3.86				
43	4.30				
44	4.40				
45	3.92				
46	3.80				
47	4.70				
48	4.25				
49	4.90				
50	5.00				
51	4.36				
52	5.02				
53	5.30				
54	4.34				
55	5.50				
56	5.60				
57	4.77				
58	5.56				
59	5.90				
60	5.88				
61	6.10				
62	6.20				
63	5.63				
64	5.76				
65	6.50				
66	5.45				
67	6.70				
68	6.80				
69	5.53				
70	6.91				
71	7.10				
72	5.92				
73	7.30				
74	7.40				
75	6.94				
76	6.35				
77	7.70				
78	7.50				
79	7.90				
80	8.00				
81	8.02				
82	7.15				
83	8.30				
84	7.53				
85	8.50				
86	8.60				
87	8.56				
88	7.46				
89	8.90				
90	8.79				
91	9.10				
92	9.20				
93	8.28				
94	9.06				
95	9.50				
96	8.63				
97	9.70				
98	9.80				
99	8.07				
100	8.73				
101	10.10				
102	8.18				
103	10.30				
104	10.40				
105	10.11				
106	9.35				
107	10.70				
108	10.40				
109	10.90				
110	11.00				
111	9.65				
112	9.39				
113	10.05				
114	9.23				
115	9.47				
116	9.19				
117	8.21				
118	8.42				
119	8.40				
120	6.97				
121	7.91				
122	7.67				
123	6.75				
124	5.98				
125	7.01				
126	5.92				
127	6.61				
128	6.41				
129	5.61				
130	5.17				
131	5.86				
132	5.41				
133	5.52				
134	5.35				
135	4.74				
136	4.95				
137	4.89				
138	4.09				
139	4.61				
140	4.47				
141	4.17				
142	4.09				
143	4.09				
144	3.76				
145	3.85				
146	3.74				
147	2.93				
148	3.05				
149	3.41				
150	2.69				
151	3.22				
152	3.12				
153	2.75				
154	2.58				
155	2.85				
156	2.36				
157	2.69				
158	2.61				
159	2.22				
160	2.04				
161	2.38				
162	1.92				
163	2.24				
164	2.18				
165	1.71				
166	2.04				
167	1.99				
168	1.65				
169	1.87				
170	1.82				
171	1.69				
172	1.48				
173	1.66				
174	1.30				
175	1.57				
176	1.52				
177	1.30				
178	1.43				
179	1.39				
180	1.18				
181	1.31				
182	1.27				
183	1.02				
184	1.18				
185	1.16				
186	0.96				
187	1.09				
188	1.06				
189	0.87				
190	0.95				
191	0.97				
192	0.78				
193	0.91				
194	0.89				
195	0.69				
196	0.80				
197	0.81				
198	0.73				
199	0.76				
200	0.74				
201	0.59				
202	0.57				
203	0.68				
204	0.64				
205	0.64				
206	0.62				
207	0.57				
208	0.58				
209	0.56				
210	0.54				
211	0.53				
212	0.43				
213	0.28				
214	0.23				
215	0.13				
216	0.03				
217	-0.07				
218	-0.17				
219	-0.26				
220	-0.30				
221	-0.47				
222	-0.48				
223	-0.67				
224	-0.77				
225	-0.76				
226	-0.90				
227	-1.07				
228	-1.04				
229	-1.27				
230	-1.37				
231	-1.34				
232	-1.33				
233	-1.67				
234	-1.58				
235	-1.87				
236	-1.97				
237	-1.71				
238	-1.93				
239	-2.27				
240	-2.22				
241	-2.47				
242	-2.57				
243	-2.32				
244	-2.49				
245	-2.87				
246	-2.44				
247	-3.07				
248	-3.17				
249	-2.99				
250	-2.86				
251	-3.47				
252	-3.00				
253	-3.67				
254	-3.77				
255	-3.72				
256	-3.47				
257	-4.07				
258	-4.14				
259	-4.27				
260	-4.37				
261	-3.88				
262	-3.74				
263	-4.67				
264	-4.71				
265	-4.87				
266	-4.97				
267	-4.73				
268	-4.33				
269	-5.27				
270	-5.10				
271	-5.47				
272	-5.57				
273	-5.04				
274	-5.35				
275	-5.87				
276	-5.23				
277	-6.07				
278	-6.17				
279	-5.27				
280	-5.91				
281	-6.47				
282	-5.72				
283	-6.67				
284	-6.77				
285	-5.56				
286	-5.65				
287	-7.07				
288	-5.96				
289	-7.27				
290	-7.37				
291	-7.29				
292	-7.13				
293	-7.67				
294	-7.66				
295	-7.87				
296	-7.97				
297	-8.03				
298	-7.29				
299	-8.27				
300	-7.28				
301	-8.47				
302	-8.57				
303	-6.95				
304	-8.49				
305	-8.87				
306	-7.96				
307	-9.07				
308	-9.17				
309	-8.51				
310	-7.58				
311	-9.47				
312	-8.27				
313	-9.67				
314	-9.77				
315	-8.16				
316	-8.98				
317	-10.07				
318	-10.01				
319	-10.27				
320	-10.37				
321	-9.51				
322	-9.40				
323	-10.67				
324	-8.70				
325	-10.87				
326	-10.97				
327	-9.27				
328	-9.57				
329	-11.27				
330	-9.16				
331	-11.47				
332	-11.57				
333	-10.21				
334	-10.82				
335	-11.87				
336	-10.32				
337	-12.07				
338	-12.17				
339	-10.11				
340	-11.78				
341	-12.47				
342	-11.84				
343	-12.67				
344	-12.77				
345	-12.09				
346	-12.92				
347	-13.07				
348	-11.24				
349	-13.27				
350	-13.37				
351	-11.26				
352	-13.26				
353	-13.67				
354	-13.00				
355	-13.87				
356	-13.97				
357	-13.62				
358	-13.52				
359	-14.27				
360	-12.01				
361	-14.47				
362	-14.57				
363	-12.02				
364	-14.28				
365	-14.87				
366	-14.95				
367	-15.07				
368	-15.17				
369	-14.10				
370	-12.93				
371	-15.47				
372	-12.97				
373	-15.67				
374	-15.77				
375	-13.19				
376	-14.04				
377	-16.07				
378	-13.57				
379	-16.27				
380	-16.37				
381	-15.96				
382	-14.78				
383	-16.67				
384	-14.17				
385	-16.87				
386	-16.97				
387	-16.34				
388	-16.28				
389	-17.27				
390	-16.74				
391	-17.47				
392	-17.57				
393	-16.85				
394	-16.44				
395	-17.87				
396	-14.94				
397	-18.07				
398	-18.17				
399	-17.07				
400	-18.22				
401	-18.47				
402	-17.57				
403	-18.67				
404	-18.77				
405	-17.28				
406	-16.12				
407	-19.07				
408	-18.59				
409	-19.27				
410	-19.37				
411	-16.53				
412	-16.51				
413	-19.67				
414	-16.91				
415	-19.87				
416	-19.97				
417	-17.81				
418	-16.55				
419	-20.27				
420	-17.74				
421	-20.47				
422	-20.57				
423	-19.79				
424	-20.57				
425	-20.87				
426	-17.29				
427	-21.07				
428	-21.17				
429	-20.58				
430	-20.72				
431	-21.47				
432	-19.39				
433	-21.67				
434	-21.77				
435	-19.35				
436	-17.60				
437	-22.07				
438	-18.75				
439	-22.27				
440	-22.37				
441	-21.23				
442	-18.34				
443	-22.67				
444	-21.39				
445	-22.87				
446	-22.97				
447	-21.07				
448	-18.66				
449	-23.27				
450	-19.92				
451	-23.47				
452	-23.57				
453	-23.58				
454	-22.75				
455	-23.87				
456	-20.15				
457	-24.07				
458	-24.17				
459	-21.71				
460	-22.09				
461	-24.47				
462	-23.90				
463	-24.67				
464	-24.77				
465	-21.44				
466	-21.34				
467	-25.07				
468	-21.38				
469	-25.27				
470	-25.37				
471	-23.78				
472	-23.40				
473	-25.67				
474	-20.92				
475	-25.87				
476	-25.97				
					
					
					
					
					
					
					
					
					
					
					
